generation,timestamp,elapsed_seconds,population_size,best_fitness,worst_fitness,avg_fitness,best_student_satisfaction,best_professor_satisfaction,best_fairness,avg_student_satisfaction,avg_professor_satisfaction,avg_fairness,total_capacity_violations,total_field_mismatches
75,2026-07-20T13:14:03.433984,0.87,50,0.190278,0.15081,0.184464,0.8,0.190278,0.03102,0.680119,0.184464,0.015122,89.0,47
76,2026-07-20T13:14:03.443224,0.88,50,0.190278,0.16604,0.186303,0.8,0.190278,0.027369,0.682238,0.186303,0.015455,93.0,29
77,2026-07-20T13:14:03.450528,0.88,50,0.190278,0.145226,0.181659,0.825,0.190278,0.036493,0.670279,0.181659,0.016479,88.0,51
78,2026-07-20T13:14:03.458764,0.89,50,0.190278,0.156655,0.183286,0.8,0.190278,0.078098,0.661192,0.183286,0.020611,90.0,55
79,2026-07-20T13:14:03.467103,0.9,50,0.190278,0.152629,0.184037,0.841667,0.190278,0.065985,0.671806,0.184037,0.018508,100.0,46
80,2026-07-20T13:14:03.479029,0.91,50,0.190278,0.141634,0.182661,0.8,0.190278,0.056678,0.681238,0.182661,0.014836,90.0,57
81,2026-07-20T13:14:03.489570,0.92,50,0.190278,0.155442,0.182863,0.85,0.190278,0.067324,0.679908,0.182863,0.018666,85.0,55
82,2026-07-20T13:14:03.500699,0.93,50,0.190278,0.143616,0.182009,0.8,0.190278,0.060273,0.687018,0.182009,0.016869,74.0,66
83,2026-07-20T13:14:03.512868,0.95,50,0.190278,0.149377,0.180759,0.8,0.190278,0.06411,0.676971,0.180759,0.019195,74.0,80
84,2026-07-20T13:14:03.520752,0.95,50,0.190278,0.138375,0.179976,0.8,0.190278,0.074781,0.69406,0.179976,0.021028,67.0,65
85,2026-07-20T13:14:03.528061,0.96,50,0.190278,0.155808,0.18044,0.8,0.190278,0.077595,0.69443,0.18044,0.0195,61.0,71
86,2026-07-20T13:14:03.534387,0.97,50,0.190278,0.1463,0.182222,0.8,0.190278,0.068672,0.691868,0.182222,0.017126,63.0,64
87,2026-07-20T13:14:03.543264,0.98,50,0.190278,0.157952,0.183292,0.85,0.190278,0.068078,0.69197,0.183292,0.017676,69.0,57
88,2026-07-20T13:14:03.550626,0.98,50,0.190278,0.140841,0.178267,0.8,0.190278,0.070932,0.688787,0.178267,0.019286,76.0,71
89,2026-07-20T13:14:03.562733,1.0,50,0.190278,0.139103,0.179355,0.825,0.190278,0.070149,0.687621,0.179355,0.020447,72.0,71
90,2026-07-20T13:14:03.573157,1.01,50,0.190278,0.137612,0.183836,0.85,0.190278,0.066555,0.714493,0.183836,0.019022,60.0,52
91,2026-07-20T13:14:03.587383,1.02,50,0.190278,0.157085,0.18522,0.80625,0.190278,0.066052,0.72582,0.18522,0.01495,51.0,38
92,2026-07-20T13:14:03.598203,1.03,50,0.190278,0.131067,0.183119,0.808333,0.190278,0.06098,0.727229,0.183119,0.015148,42.0,41
93,2026-07-20T13:14:03.614030,1.05,50,0.190278,0.123448,0.180348,0.825,0.190278,0.066816,0.705548,0.180348,0.01724,60.0,58
94,2026-07-20T13:14:03.614030,1.05,50,0.190278,0.161806,0.182669,0.8,0.190278,0.06137,0.703496,0.182669,0.017686,59.0,51
95,2026-07-20T13:14:03.633362,1.07,50,0.190278,0.145655,0.183028,0.8,0.190278,0.073712,0.699813,0.183028,0.017143,52.0,56
96,2026-07-20T13:14:03.641629,1.07,50,0.190278,0.149503,0.184481,0.8,0.190278,0.070721,0.70237,0.184481,0.019155,62.0,39
97,2026-07-20T13:14:03.650032,1.08,50,0.190278,0.151389,0.184015,0.8,0.190278,0.060815,0.689333,0.184015,0.015203,90.0,42
98,2026-07-20T13:14:03.660928,1.09,50,0.190278,0.157312,0.182076,0.8,0.190278,0.060087,0.676294,0.182076,0.016607,93.0,57
99,2026-07-20T13:14:03.666333,1.1,50,0.190278,0.157342,0.184885,0.8,0.190278,0.070095,0.691435,0.184885,0.017065,86.0,41
100,2026-07-20T13:14:03.666333,1.1,50,0.190278,0.162468,0.185715,0.83125,0.190278,0.064942,0.696663,0.185715,0.016714,93.0,36
